epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3550.62,1.53096,2.15039,1.13564,0.45645,0.2968,0.29819,0.17168,1.40096,1.37259,1.08057,0.000255786,0.000255786,0.000255786
2,7089.53,1.3875,1.39741,1.09459,0.48724,0.34228,0.33738,0.20248,1.39255,1.2875,1.1011,0.000461419,0.000461419,0.000461419
3,10624.8,1.33922,1.18333,1.07849,0.45107,0.4283,0.42226,0.25597,1.32587,1.09681,1.07841,0.000616299,0.000616299,0.000616299
4,14155.5,1.29087,1.05157,1.06174,0.6438,0.41171,0.46565,0.28993,1.27647,1.01745,1.06031,0.000540607,0.000540607,0.000540607
5,17694.2,1.24427,0.97242,1.04452,0.56226,0.47729,0.5144,0.32259,1.2138,0.95521,1.04231,0.000464476,0.000464476,0.000464476
6,21226.3,1.21415,0.91684,1.03269,0.58255,0.50989,0.54841,0.34902,1.20744,0.89493,1.03759,0.000388345,0.000388345,0.000388345
7,24763.6,1.1696,0.85896,1.01368,0.64194,0.52945,0.5945,0.38059,1.17971,0.84918,1.02326,0.000312214,0.000312214,0.000312214
8,28295.6,1.13965,0.81751,1.00295,0.66193,0.55108,0.60823,0.39607,1.15776,0.84653,1.02346,0.000236083,0.000236083,0.000236083
9,31830.5,1.10558,0.78038,0.99142,0.67076,0.56615,0.62184,0.40518,1.15266,0.81097,1.02004,0.000159952,0.000159952,0.000159952
10,35360.2,1.06652,0.74515,0.97591,0.70563,0.5938,0.65336,0.42956,1.11947,0.76966,1.00752,8.3821e-05,8.3821e-05,8.3821e-05
