epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3021.11,1.52228,2.03119,1.13076,0.5052,0.32077,0.32037,0.18616,1.36107,1.311,1.04766,0.000255786,0.000255786,0.000255786
2,6007.08,1.37708,1.31511,1.08518,0.41605,0.42183,0.39369,0.22903,1.33979,1.10526,1.06539,0.000461419,0.000461419,0.000461419
3,8998.07,1.32516,1.11915,1.07332,0.5572,0.42519,0.46523,0.27638,1.26416,0.99659,1.05346,0.000616299,0.000616299,0.000616299
4,11992.8,1.27853,1.00583,1.05342,0.58156,0.47682,0.50459,0.30836,1.23749,0.96644,1.04183,0.000540607,0.000540607,0.000540607
5,14989.3,1.23411,0.93132,1.03713,0.56383,0.495,0.53565,0.33306,1.23112,0.90855,1.055,0.000464476,0.000464476,0.000464476
6,17959.7,1.19576,0.87622,1.02086,0.65609,0.53749,0.59219,0.36551,1.21678,0.86048,1.04343,0.000388345,0.000388345,0.000388345
7,20938.7,1.15476,0.82668,1.00683,0.64851,0.56467,0.62311,0.39637,1.16159,0.80003,1.01351,0.000312214,0.000312214,0.000312214
8,23927.2,1.1271,0.78895,0.99652,0.66799,0.57993,0.63821,0.40957,1.15889,0.7894,1.02305,0.000236083,0.000236083,0.000236083
9,26913,1.09461,0.75098,0.98216,0.69729,0.59498,0.65226,0.42371,1.14138,0.7853,1.01658,0.000159952,0.000159952,0.000159952
10,29896.6,1.0654,0.72408,0.97323,0.71729,0.59087,0.66407,0.43374,1.10666,0.75427,1.00505,8.3821e-05,8.3821e-05,8.3821e-05
